Food Item,Category,Meal Type,Cuisine Region,Calories (kcal),Carbohydrates (g),Proteins (g),Fats (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Potassium (mg),Vitamin A (µg),Vitamin C (mg),Vitamin B12 (µg),Serving Size (g/ml),Dietary Preference,Preparation Time (minutes),Veg/Non-Veg,Preferred For,Cheat Meal
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,203,44,21,39,6,249,4.6,32.0,171,75,17,0.4,248,General Fitness,90,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,244,15,13,27,1,285,5.3,50.0,429,181,35,0.1,376,General Fitness,73,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,533,12,33,19,2,199,3.2,15.0,343,201,20,1.4,268,General Fitness,56,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,314,61,5,22,7,280,1.3,32.0,158,208,20,0.7,273,General Fitness,65,Veg,General Fitness,No
Kadhi Pakora,Vegetarian,Lunch/Dinner,North Indian,625,42,3,8,6,96,3.6,79.0,160,109,31,1.6,374,General Fitness,57,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,132,60,9,49,5,252,1.2,42.0,446,247,31,0.1,333,General Fitness,36,Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,141,79,30,39,3,272,5.7,69.0,422,68,9,1.3,338,General Fitness,62,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,303,27,24,26,7,176,4.4,13.0,417,216,6,0.8,132,General Fitness,9,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,190,23,27,39,1,120,3.6,62.0,398,229,7,0.0,320,General Fitness,43,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,440,76,11,42,3,81,3.6,28.0,408,240,17,1.5,396,General Fitness,19,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,257,64,24,39,4,61,5.5,80.0,234,100,30,1.0,187,General Fitness,77,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,552,29,22,5,5,41,1.6,41.0,288,123,12,0.7,151,General Fitness,65,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,640,48,27,30,3,92,2.8,32.0,467,238,22,1.2,229,General Fitness,58,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,150,80,28,48,8,121,2.3,42.0,348,142,37,2.0,385,General Fitness,34,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,147,20,40,47,4,225,1.2,59.0,169,225,9,1.6,195,General Fitness,82,Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,200,57,3,37,3,209,0.8,59.0,390,163,28,1.9,277,General Fitness,65,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,463,13,15,18,5,276,1.8,43.0,365,134,39,1.0,189,General Fitness,52,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,177,23,30,49,2,175,0.6,60.0,117,150,20,1.6,385,General Fitness,77,Non-Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,125,64,35,39,8,248,4.1,76.0,440,221,38,1.6,249,General Fitness,24,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,612,63,7,28,5,163,2.9,30.0,197,186,31,2.0,383,General Fitness,8,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,674,46,23,13,6,153,1.7,44.0,415,128,40,0.2,306,General Fitness,13,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,616,80,9,28,1,276,5.5,64.0,419,134,19,1.4,213,General Fitness,28,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,177,42,29,18,7,134,1.3,49.0,419,152,27,0.1,237,General Fitness,53,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,123,57,20,34,9,200,3.1,47.0,351,100,6,0.3,104,General Fitness,15,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,361,29,14,6,2,131,4.6,29.0,121,204,30,0.0,351,General Fitness,21,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,633,21,32,39,7,198,1.3,43.0,249,171,9,1.2,389,General Fitness,65,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,563,78,21,35,3,96,4.7,18.0,107,176,21,1.7,219,General Fitness,84,Non-Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,278,80,26,39,9,211,0.9,29.0,179,74,38,0.7,212,General Fitness,55,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,327,31,26,30,6,158,2.2,73.0,325,209,13,0.7,109,General Fitness,89,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,564,31,34,31,3,188,3.2,72.0,138,204,7,0.7,158,General Fitness,10,Veg,General Fitness,No
Rasmalai,Vegetarian,Dessert,East Indian,250,40,5,25,10,127,4.9,68.0,496,139,35,0.1,343,General Fitness,30,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,487,26,40,45,6,244,2.5,15.0,414,227,31,0.1,394,General Fitness,55,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,547,12,19,21,8,227,2.6,34.0,380,212,14,1.8,220,General Fitness,46,Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,554,16,35,32,6,231,4.9,49.0,306,103,24,0.3,244,General Fitness,47,Veg,General Fitness,No
Gulab Jamun,Vegetarian,Dessert,North Indian,171,56,23,41,5,167,5.8,47.0,117,59,34,0.8,244,General Fitness,70,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,317,30,28,23,5,254,3.0,43.0,108,60,35,0.6,141,General Fitness,49,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,592,49,30,13,8,156,3.4,69.0,409,226,9,1.9,140,General Fitness,8,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,600,62,30,14,8,152,5.4,17.0,411,141,38,1.0,397,General Fitness,63,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,370,58,39,26,7,35,5.2,19.0,113,240,14,1.0,252,General Fitness,15,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,131,72,23,16,5,281,4.8,75.0,313,225,34,0.8,207,General Fitness,74,Non-Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,307,57,12,45,7,68,5.3,64.0,290,177,5,0.7,221,General Fitness,72,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,251,16,20,27,6,254,3.5,21.0,469,101,32,1.1,366,General Fitness,41,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,261,21,18,4,2,92,2.2,77.0,213,96,9,1.0,315,General Fitness,20,Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,691,21,38,27,8,201,3.3,69.0,234,201,20,1.8,398,General Fitness,9,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,455,37,8,43,4,262,3.6,55.0,299,89,12,1.5,305,General Fitness,60,Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,295,11,15,7,2,31,4.5,66.0,162,174,29,0.4,219,General Fitness,47,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,621,34,11,40,6,274,4.0,26.0,238,176,33,0.5,164,General Fitness,56,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,150,26,35,33,3,228,3.4,29.0,178,125,37,0.3,124,General Fitness,7,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,598,49,10,36,4,269,2.0,38.0,263,114,28,1.1,332,General Fitness,84,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,683,27,25,12,5,172,4.0,10.0,123,59,16,1.6,366,General Fitness,24,Non-Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,250,52,7,31,1,117,1.7,39.0,126,189,25,1.8,246,General Fitness,90,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,231,26,12,11,2,195,3.5,79.0,258,180,23,1.0,143,General Fitness,20,Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,147,38,36,41,3,123,1.6,12.0,355,234,23,0.2,268,General Fitness,84,Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,671,61,7,1,2,198,4.1,10.0,239,154,28,1.7,204,General Fitness,60,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,302,69,21,12,3,207,1.2,22.0,289,213,33,0.8,294,General Fitness,11,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,280,63,35,27,7,120,5.6,38.0,319,138,10,0.2,216,General Fitness,23,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,159,21,32,7,4,219,2.9,40.0,197,233,29,0.3,120,General Fitness,31,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,393,80,37,6,9,178,5.5,77.0,382,175,24,1.6,269,General Fitness,33,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,401,15,25,24,7,284,4.2,14.0,200,177,12,0.5,195,General Fitness,76,Non-Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,327,22,2,46,2,222,2.5,74.0,312,51,37,0.0,122,General Fitness,6,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,429,58,32,17,8,78,1.7,17.0,166,79,17,1.6,169,General Fitness,81,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,309,38,7,28,5,208,5.7,35.0,113,76,6,1.7,303,General Fitness,19,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,359,12,30,32,10,206,4.9,14.0,156,120,18,2.0,296,General Fitness,29,Non-Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,251,57,5,21,3,283,3.7,42.0,205,59,31,1.2,323,General Fitness,31,Non-Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,347,12,4,25,3,102,4.5,11.0,423,170,13,1.9,220,General Fitness,6,Non-Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,678,14,35,2,6,218,2.5,73.0,328,107,34,2.0,259,General Fitness,70,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,577,18,15,5,4,107,5.1,57.0,126,243,27,0.6,372,General Fitness,78,Non-Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,321,44,28,3,5,125,5.4,74.0,238,99,39,0.1,337,General Fitness,50,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,159,26,29,26,1,49,5.6,52.0,376,85,25,0.9,203,General Fitness,90,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,546,24,21,29,1,239,3.5,14.0,479,111,39,1.2,310,General Fitness,49,Non-Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,516,71,35,14,5,164,4.0,41.0,315,63,10,0.5,113,General Fitness,61,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,674,49,18,12,1,39,3.0,46.0,369,224,39,1.1,275,General Fitness,18,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,602,19,22,20,1,287,3.8,23.0,250,196,22,1.7,364,General Fitness,36,Veg,General Fitness,No
Biryani,Non-Vegetarian,Lunch/Dinner,Hyderabadi,203,39,12,48,9,251,5.9,45.0,491,207,26,1.5,383,General Fitness,51,Non-Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,509,77,7,21,8,277,5.3,10.0,424,79,40,1.0,154,General Fitness,11,Veg,General Fitness,No
Dal Makhani,Vegetarian,Lunch/Dinner,North Indian,198,66,40,2,6,185,5.0,43.0,486,166,16,1.3,361,General Fitness,57,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,506,57,4,33,7,64,1.9,38.0,274,210,9,1.3,358,General Fitness,75,Non-Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,202,62,18,44,9,63,2.1,66.0,490,206,23,1.9,397,General Fitness,33,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,219,27,40,1,7,259,4.1,66.0,378,98,8,1.0,319,General Fitness,75,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,545,17,5,3,3,78,5.0,45.0,419,117,5,0.2,380,General Fitness,76,Veg,General Fitness,No
Dhokla,Vegetarian,Snack/Breakfast,West Indian,250,23,23,50,7,238,1.7,55.0,351,101,28,1.2,306,General Fitness,38,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,393,11,19,50,8,24,1.9,48.0,379,103,24,1.2,180,General Fitness,84,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,373,59,17,11,8,237,5.8,73.0,314,68,24,2.0,149,General Fitness,48,Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,581,34,21,46,9,189,0.5,40.0,221,200,24,0.6,397,General Fitness,88,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,467,76,39,43,2,166,5.7,48.0,135,109,26,0.7,206,General Fitness,26,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,700,13,8,6,7,168,3.5,51.0,316,179,39,0.7,179,General Fitness,81,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,621,80,36,17,5,192,1.2,75.0,343,194,9,1.6,347,General Fitness,68,Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,199,13,10,42,4,161,1.7,32.0,137,79,20,1.4,306,General Fitness,6,Veg,General Fitness,No
Pani Puri,Vegetarian,Snack,Street Food,612,31,19,22,9,168,5.7,75.0,346,197,26,0.0,275,General Fitness,89,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,292,55,13,26,10,131,5.7,45.0,392,225,18,1.1,350,General Fitness,22,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,386,40,19,5,9,260,3.5,20.0,217,198,37,0.3,223,General Fitness,75,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,675,38,21,23,6,49,5.9,23.0,223,85,25,1.7,388,General Fitness,54,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,298,55,17,7,8,94,1.3,80.0,222,238,19,1.1,383,General Fitness,76,Veg,General Fitness,No
Bhindi Masala,Vegetarian,Lunch/Dinner,North Indian,326,42,12,31,4,74,5.0,66.0,380,143,38,0.6,232,General Fitness,8,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,666,37,10,38,3,293,1.8,68.0,497,55,5,0.7,150,General Fitness,7,Non-Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,167,55,38,44,3,166,1.6,44.0,493,130,23,0.1,234,General Fitness,27,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,482,46,20,3,7,39,3.0,59.0,398,51,22,0.9,336,General Fitness,21,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,294,67,21,12,10,125,4.6,60.0,496,231,27,0.4,267,General Fitness,48,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,531,41,5,27,5,191,1.8,65.0,500,55,11,0.9,159,General Fitness,28,Non-Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,610,56,16,40,6,215,3.7,68.0,495,150,39,0.1,183,General Fitness,42,Veg,General Fitness,No
Palak Paneer,Vegetarian,Lunch/Dinner,North Indian,394,45,2,9,2,187,5.6,48.0,338,203,35,0.5,213,General Fitness,11,Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,360,38,30,28,7,33,1.0,51.0,323,113,22,1.1,335,General Fitness,63,Veg,General Fitness,No
Upma,Vegetarian,Breakfast,South Indian,453,42,5,18,3,75,1.7,45.0,208,247,29,1.8,107,General Fitness,36,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,309,11,34,16,9,98,1.0,60.0,209,145,24,1.5,394,General Fitness,87,Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,492,30,15,22,7,272,2.0,20.0,175,234,5,0.6,365,General Fitness,8,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,499,65,5,23,7,216,1.1,23.0,115,245,14,1.6,284,General Fitness,16,Veg,General Fitness,No
Vegetable Pulao,Vegetarian,Lunch/Dinner,North Indian,314,76,33,3,1,40,0.7,65.0,393,188,35,1.5,350,General Fitness,85,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,192,34,19,26,9,55,4.2,41.0,320,167,33,0.9,118,General Fitness,16,Non-Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,621,80,25,50,9,51,3.6,32.0,429,52,14,0.6,197,General Fitness,86,Veg,General Fitness,No
Chole Bhature,Vegetarian,Breakfast/Lunch,North Indian,400,41,4,48,9,251,3.8,47.0,132,84,16,0.6,158,General Fitness,66,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,667,41,13,45,10,197,2.0,35.0,377,196,14,1.4,142,General Fitness,36,Veg,General Fitness,No
Matar Paneer,Vegetarian,Lunch/Dinner,North Indian,359,18,10,37,9,104,0.9,40.0,398,235,31,0.1,144,General Fitness,57,Veg,General Fitness,No
Coconut Water,Vegetarian,Beverage,South Indian,407,80,30,19,8,300,1.1,22.0,253,173,29,1.9,377,General Fitness,46,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,239,78,3,31,2,122,2.3,50.0,219,108,27,1.4,204,General Fitness,73,Veg,General Fitness,No
Egg Curry,Non-Vegetarian,Lunch/Dinner,North Indian,539,37,40,21,3,41,0.9,34.0,115,192,11,0.4,261,General Fitness,11,Non-Veg,General Fitness,No
Pav Bhaji,Vegetarian,Snack/Dinner,West Indian,694,30,32,23,10,287,1.3,46.0,354,231,35,0.3,356,General Fitness,17,Veg,General Fitness,No
Aloo Paratha,Vegetarian,Breakfast,North Indian,106,26,11,48,2,210,1.0,33.0,248,121,27,1.6,201,General Fitness,48,Veg,General Fitness,No
Mutton Korma,Non-Vegetarian,Lunch/Dinner,Mughlai,396,71,24,24,3,300,3.3,49.0,256,105,16,0.3,220,General Fitness,24,Non-Veg,General Fitness,No
Biryani,Non-Vegetarian,Lunch/Dinner,Hyderabadi,607,20,2,42,1,90,5.6,40.0,351,96,22,0.4,173,General Fitness,35,Non-Veg,General Fitness,No
Misal Pav,Vegetarian,Breakfast,West Indian,400,24,40,49,7,199,3.4,44.0,400,209,7,0.2,167,General Fitness,86,Veg,General Fitness,No
Butter Chicken,Non-Vegetarian,Lunch/Dinner,North Indian,593,40,29,36,7,165,2.8,36.0,337,57,21,0.6,137,General Fitness,10,Non-Veg,General Fitness,No
Dosa,Vegetarian,Breakfast,South Indian,302,63,17,42,1,233,4.9,41.0,373,51,18,1.1,231,General Fitness,36,Veg,General Fitness,No
Sambar,Vegetarian,Lunch/Dinner,South Indian,671,76,8,29,1,51,1.2,80.0,423,227,13,1.4,178,General Fitness,10,Veg,General Fitness,No
Paratha,Vegetarian,Breakfast,North Indian,176,51,19,11,6,141,0.6,15.0,384,130,40,1.3,285,General Fitness,65,Veg,General Fitness,No
Masala Chai,Vegetarian,Beverage,North Indian,197,39,21,48,8,209,4.4,74.0,130,198,34,1.6,143,General Fitness,57,Veg,General Fitness,No
Rasmalai,Vegetarian,Dessert,East Indian,163,47,25,23,6,100,4.4,19.0,269,95,40,1.7,309,General Fitness,37,Veg,General Fitness,No
Thepla,Vegetarian,Breakfast,Gujrati,410,18,35,9,9,236,1.6,73.0,235,97,18,1.3,225,General Fitness,58,Veg,General Fitness,No
Idli,Vegetarian,Breakfast,South Indian,621,35,22,38,2,119,2.0,46.0,195,234,12,1.3,236,General Fitness,44,Veg,General Fitness,No
Lassi,Vegetarian,Beverage,North Indian,218,49,2,31,7,111,2.7,62.0,306,142,18,1.4,248,General Fitness,43,Veg,General Fitness,No
Fish Curry,Non-Vegetarian,Lunch/Dinner,Coastal,449,12,26,27,2,269,1.4,77.0,441,244,35,2.0,134,General Fitness,79,Non-Veg,General Fitness,No
Roti,Vegetarian,Lunch/Dinner,North Indian,348,63,16,45,8,128,4.6,37.0,373,217,23,0.9,181,General Fitness,58,Veg,General Fitness,No
Muesli with Greek Yogurt,Vegetarian,Snacks,Western,350,50,18,7,6,200,2.0,1.5,120,50,10,150.0,200,General Fitness,5,Veg,General Fitness,No
Quinoa Salad with Chickpeas,Vegetarian,Lunch,Fusion,400,55,20,8,7,220,3.0,1.8,150,60,12,170.0,250,General Fitness,10,Veg,General Fitness,No
Grilled Salmon with Vegetables,Non-Vegetarian,Dinner,Western,450,20,35,15,5,250,5.0,2.0,200,80,15,200.0,300,General Fitness,15,Non-Veg,General Fitness,No
Boiled Eggs with Nuts,Non-Vegetarian,Snacks,Western,320,10,25,18,4,180,2.0,1.2,100,40,8,120.0,150,General Fitness,5,Non-Veg,General Fitness,No
Cottage Cheese Wrap,Vegetarian,Lunch,Fusion,380,45,22,10,6,210,3.0,1.6,140,55,11,160.0,220,General Fitness,8,Veg,General Fitness,No
Whey Protein Smoothie,Vegetarian,Snacks,Western,300,20,30,5,2,100,4.0,2.0,180,70,14,130.0,170,General Fitness,3,Veg,General Fitness,No
Brown Rice with Stir-Fried Tofu,Vegetarian,Dinner,Asian,420,55,24,10,8,230,3.0,1.7,160,65,13,180.0,230,General Fitness,12,Veg,General Fitness,No
Chia Seed Pudding,Vegetarian,Snacks,Western,250,30,10,12,10,190,5.0,2.2,130,50,9,140.0,200,General Fitness,5,Veg,General Fitness,No
Tandoori Chicken with Roti,Non-Vegetarian,Dinner,North Indian,480,50,40,12,6,280,2.0,1.4,190,75,12,210.0,270,General Fitness,20,Non-Veg,General Fitness,No
Egg and Avocado Wrap,Non-Vegetarian,Lunch,Fusion,420,50,28,15,6,230,3.0,1.7,160,55,10,180.0,240,General Fitness,10,Non-Veg,General Fitness,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,313,24,28,5,2,146,7.0,5.5,107,45,10,114.0,176,Weight Loss,8,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,473,43,40,5,15,251,12.0,1.8,158,72,14,201.0,270,Muscle Gain,16,Non-Veg,Muscle Gain,No
Sprouts and Peanut Chaat,Vegetarian,Snacks,Indian,285,13,34,20,0,168,1.0,-4.7,99,45,15,131.0,206,Weight Loss,1,Veg,General Fitness,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,454,51,49,17,9,265,-6.0,-5.2,187,67,5,199.0,277,Muscle Gain,8,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,410,27,49,16,9,208,-3.0,-8.0,140,57,1,171.0,237,Muscle Gain,12,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,303,22,40,9,16,202,14.0,-4.9,136,60,19,182.0,253,General Fitness,3,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,306,22,46,5,13,201,8.0,0.10000000000000009,146,51,14,171.0,255,General Fitness,11,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,299,16,50,17,11,219,6.0,9.1,150,48,5,178.0,246,General Fitness,-6,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,390,27,59,17,-1,200,4.0,-6.3,131,58,9,160.0,218,Muscle Gain,9,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,308,26,44,12,15,216,10.0,11.1,134,48,2,177.0,249,General Fitness,7,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,386,29,49,16,5,200,-5.0,7.7,124,52,15,166.0,230,Muscle Gain,7,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,20,28,11,-3,142,13.0,3.5,108,43,12,121.0,190,Weight Loss,11,Non-Veg,General Fitness,No
Baked Fish with Brown Rice,Non-Vegetarian,Dinner,Western,469,40,46,4,-2,254,2.0,1.8,167,73,8,206.0,276,Muscle Gain,25,Non-Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,419,28,65,20,4,203,4.0,6.0,139,60,0,177.0,236,Muscle Gain,10,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,444,35,64,22,8,269,5.0,-5.2,182,67,17,197.0,278,Muscle Gain,22,Non-Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,297,28,44,14,10,220,-2.0,2.1,145,49,13,188.0,246,General Fitness,-4,Veg,Muscle Gain,No
Steamed Chicken with Brown Rice,Non-Vegetarian,Lunch,Asian,443,37,52,5,9,261,-1.0,0.8,187,73,21,194.0,282,Muscle Gain,9,Non-Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,387,36,53,12,3,195,5.0,3.7,134,50,15,150.0,214,Muscle Gain,11,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,327,17,12,3,13,144,13.0,8.5,94,50,8,111.0,176,Weight Loss,-4,Non-Veg,General Fitness,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,418,35,50,5,1,204,9.0,2.0,138,51,5,178.0,243,Muscle Gain,14,Veg,Muscle Gain,No
Soybean and Vegetable Stir-Fry,Vegetarian,Dinner,Asian,389,39,52,14,11,217,1.0,6.6,159,70,13,160.0,247,Muscle Gain,3,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,397,26,50,4,7,182,-1.0,-2.3,134,60,15,152.0,223,Muscle Gain,12,Veg,Muscle Gain,No
Paneer Bhurji with Multigrain Roti,Vegetarian,Dinner,North Indian,425,31,52,15,4,205,-4.0,-6.0,124,50,7,171.0,234,Muscle Gain,9,Veg,Muscle Gain,No
Egg White Omelet with Spinach,Non-Vegetarian,Breakfast,Western,312,32,30,8,6,158,4.0,8.5,106,36,19,129.0,187,Weight Loss,13,Non-Veg,General Fitness,No
Homemade Protein Bar,Vegetarian,Snacks,Western,307,25,41,19,8,204,1.0,11.1,135,50,14,174.0,249,General Fitness,-1,Veg,Muscle Gain,No
Homemade Protein Bar,Vegetarian,Snacks,Western,292,18,48,17,9,201,-4.0,-2.9,142,64,0,179.0,259,General Fitness,-2,Veg,Muscle Gain,No
Tofu and Broccoli Stir Fry,Vegetarian,Dinner,Asian,398,23,54,19,10,183,-2.0,4.7,129,69,4,160.0,218,Muscle Gain,13,Veg,Muscle Gain,No
